CustomerID,Name,Birthyear,Education,Marital_Status,Income,Kid_Younger6,Children_6to18,Date_Adherence,Recency,MntMeat&Fish,MntEntries,MntVegan&Vegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5,Response_Cmp1,Complain,CostContact,Revenue,DepVar
30651,Mr. Trevor Ferguson,1987,Graduation,Married,46575,0,0,2022-02-20 00:00:00,71,30,0,60,60,140,11,1,3,1,2,7,0,0,0,0,0,0,3,16,0
6222,Mr. Peter Gray,1973,PhD,Together,48852,1,0,2022-01-13 00:00:00,34,130,0,60,0,0,2,1,3,1,2,8,0,0,0,0,0,0,3,16,0
3909,Mrs. Theresa Wallace,1961,Graduation,Married,91345,0,1,2021-04-21 00:00:00,75,4160,380,2730,380,380,6,3,9,3,10,6,0,0,0,0,0,0,3,16,0
20121,Miss Lillian Alsop,1977,Graduation,Together,102522,0,1,2021-05-30 00:00:00,95,3120,420,3090,1560,1840,149,3,9,4,10,5,0,0,0,0,0,0,3,16,0
19896,Miss Lillian Dowd,1961,Master,Together,38770,0,0,2020-11-19 00:00:00,46,30,20,150,40,40,5,1,3,1,2,9,0,0,0,0,0,0,3,16,0
8769,Mr. Isaac Martin,1968,Master,married,60661,0,1,2021-04-16 00:00:00,85,2550,0,675,0,60,6,6,8,3,4,8,0,0,0,0,0,0,3,16,0
4083,Miss Hannah Rampling,1970,Basic,Single,45174,0,1,2020-10-27 00:00:00,23,80,80,75,220,40,11,2,3,1,3,7,0,0,0,0,0,0,3,16,0
16590,Mr. Blake Buckland,1974,PhD,Married,69035,0,0,2020-10-07 00:00:00,61,5920,120,570,120,0,0,3,9,6,7,6,0,0,0,0,0,0,3,16,0
15957,Mr. Frank Rampling,1970,Master,Married,121690,0,0,2021-07-30 00:00:00,66,10220,300,5265,1900,2540,15,1,7,4,6,2,0,0,0,1,0,0,3,16,0
8013,Mr. Simon Peake,1975,Graduation,Married,54624,1,1,2021-04-28 00:00:00,90,180,40,150,0,0,25,1,3,2,2,7,1,0,0,0,0,0,3,16,0
13527,Mr. Jacob Sharp,1985,Graduation,Married,84891,1,0,2021-03-28 00:00:00,35,4980,140,2880,140,140,28,3,9,3,11,5,0,0,0,0,0,0,3,16,0
7209,Miss Dorothy May,1972,Graduation,Single,71469,1,1,2021-08-11 00:00:00,66,110,0,90,0,0,1,1,3,1,2,6,0,0,0,0,0,0,3,16,0
30075,Mr. Edward Martin,1983,Master,Widow,99611,0,0,2022-01-15 00:00:00,95,2650,1300,1860,1400,1300,11,1,5,5,11,1,0,0,0,0,0,0,3,16,0
