CustomerID,Name,Birthyear,Education,Marital_Status,Income,Kid_Younger6,Children_6to18,Date_Adherence,Recency,MntMeat&Fish,MntEntries,MntVegan&Vegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5,Response_Cmp1,Complain,CostContact,Revenue
3102,Miss Zoe Carr,1963,Graduation,Together,99861,0,0,2021-11-03 00:00:00,66,5180,1400,9240,2800,840,28,1,8,6,10,4,0,1,0,0,0,0,3,16
3105,Mrs. Jane Bower,1963,PhD,Divorced,102929,0,1,2021-07-22 00:00:00,10,5320,1760,2520,1060,880,133,3,9,4,13,5,0,0,0,0,0,0,3,16
3108,Miss Carol Davidson,1971,PhD,Together,24625,1,1,2021-10-31 00:00:00,65,260,20,390,20,0,16,5,5,2,3,9,1,0,0,0,0,0,3,16
3111,Mr. Alan Fisher,1953,Master,Married,120449,0,0,2021-10-31 00:00:00,75,5320,2520,7350,2520,2520,126,1,7,6,11,1,0,0,1,0,0,0,3,16
3120,Mr. Charles Graham,1990,HighSchool,Married,26231,1,0,2020-12-18 00:00:00,53,30,200,45,20,0,1,1,2,1,3,7,0,0,0,0,0,0,3,16
3123,Mr. Neil Piper,1952,Master,Together,63797,1,1,2022-04-21 00:00:00,28,620,0,255,0,0,9,3,5,2,3,5,0,0,0,0,0,0,3,16
3126,Mr. Jason Peters,1974,,together,55318,1,0,2020-11-24 00:00:00,31,90,0,90,60,20,5,1,3,1,2,9,0,0,0,0,0,0,3,16
3132,Mr. Liam Berry,1974,Graduation,Married,40732,1,0,2022-03-16 00:00:00,30,50,140,210,0,100,7,1,3,1,3,6,0,0,0,0,0,0,3,16
3135,Mr. Nathan Fraser,1975,Graduation,Single,124042,0,0,2021-06-05 00:00:00,72,3870,400,10695,570,1064,163,1,11,12,11,5,0,0,0,0,0,0,3,16
3138,Mrs. Tracey MacDonald,1986,Graduation,Married,45039,1,0,2022-05-21 00:00:00,67,150,120,345,80,20,6,2,4,1,4,6,0,0,0,0,0,0,3,16
3150,Mr. Evan Knox,1964,Basic,Married,47732,0,0,2020-12-19 00:00:00,4,50,680,270,280,880,94,1,5,2,3,7,0,0,0,0,0,0,3,16
3156,Mrs. Vanessa Metcalfe,1958,Graduation,Married,36998,1,1,2022-02-03 00:00:00,17,250,20,105,60,40,4,4,4,2,3,6,0,0,0,0,0,0,3,16
3165,Mr. Austin Dickens,1968,Graduation,Married,54019,1,1,2021-07-13 00:00:00,80,170,40,105,0,60,11,3,3,2,3,5,0,0,0,0,0,0,3,16
3174,Mrs. Jessica Springer,1975,Graduation,Married,102446,0,0,2022-04-18 00:00:00,81,6760,3320,4395,2280,500,40,1,7,9,6,2,1,0,1,0,0,0,3,16
3183,Mr. Cameron Wilson,1954,Master,Together,40599,0,1,2021-05-04 00:00:00,47,210,0,45,0,0,0,1,3,1,3,4,0,0,0,0,0,0,3,16
3198,Mr. Adrian Walsh,1957,Graduation,Married,70685,0,1,2021-05-20 00:00:00,69,4330,0,735,80,80,73,4,7,8,4,5,0,0,0,0,0,0,3,16
3207,Miss Theresa Allan,1984,Master,Together,20635,1,0,2021-09-27 00:00:00,14,140,20,165,40,20,19,1,3,2,2,8,0,0,0,0,0,0,3,16
3210,Mrs. Alexandra Tucker,1971,PhD,Divorced,79115,0,1,2020-09-19 00:00:00,38,4670,1840,1605,1840,0,107,5,12,3,9,8,0,0,0,0,0,0,3,16
3216,Miss Joanne Blake,1956,PhD,Single,58757,1,1,2021-11-21 00:00:00,49,250,0,120,0,20,1,2,3,1,3,7,0,0,0,0,0,0,3,16
3222,Mr. Frank Coleman,1979,Graduation,Married,80146,0,1,2022-03-20 00:00:00,44,450,80,270,260,140,48,1,4,1,4,3,0,0,0,0,0,0,3,16
3231,Mr. Oliver Gibson,1958,Graduation,Together,87889,0,1,2021-05-26 00:00:00,43,7580,1080,2100,420,1940,194,8,9,7,13,6,0,0,0,0,0,0,3,16
3246,Miss Emma Greene,1978,HighSchool,Single,65302,1,0,2021-05-09 00:00:00,90,1780,300,6045,3560,0,201,7,5,2,7,9,1,0,0,0,0,0,3,16
3255,Miss Penelope Grant,1978,Graduation,Together,63675,1,1,2020-12-21 00:00:00,59,950,40,255,20,20,50,3,5,2,3,8,0,0,0,0,0,0,3,16
3258,Mr. Julian Miller,1969,Graduation,Together,77179,0,0,2022-04-19 00:00:00,95,3440,420,1680,520,640,37,2,8,3,9,4,0,1,0,0,0,0,3,16
3264,Miss Jasmine Bailey,1969,PhD,Single,60651,1,1,2022-05-03 00:00:00,75,390,20,165,0,40,12,3,4,2,3,4,0,0,0,0,0,0,3,16
3267,Mrs. Jan Churchill,1954,HighSchool,Married,36423,0,1,2020-10-23 00:00:00,19,1120,280,450,240,240,19,4,5,2,5,7,0,0,0,0,0,0,3,16
3294,Miss Yvonne Lyman,1988,Master,Together,69799,1,0,2022-02-25 00:00:00,78,210,80,225,100,140,4,2,4,1,4,5,0,0,0,0,0,0,3,16
3297,Mr. David Martin,1973,Graduation,married,119457,0,1,2022-03-24 00:00:00,21,7630,1860,6030,0,1600,13,1,10,5,8,3,0,1,1,0,0,0,3,16
3300,Mrs. Jessica Burgess,1970,Graduation,Married,53461,1,1,2022-06-12 00:00:00,74,210,80,255,40,20,12,4,4,1,4,5,0,0,0,0,0,0,3,16
3306,Mr. Ian Watson,1969,PhD,Together,86980,0,1,2021-07-30 00:00:00,81,4180,1220,6420,1220,1020,10,3,9,9,10,5,0,0,0,0,0,0,3,16
3315,Mr. Blake Reid,1963,Graduation,Together,90973,0,1,2021-03-06 00:00:00,28,11030,1340,2415,260,260,80,3,5,7,11,8,0,0,0,0,0,0,3,16
3318,Mr. Peter Hemmings,1951,Graduation,Married,106323,0,1,2021-05-13 00:00:00,90,6790,640,2910,1280,1940,43,2,7,6,6,3,0,0,0,0,0,0,3,16
3324,Mrs. Kimberly Tucker,1956,Graduation,Married,106927,0,0,2022-01-22 00:00:00,52,4070,2280,6675,2780,3300,203,1,5,8,9,1,0,0,0,1,0,0,3,16
3327,Mr. Lucas Lawrence,1968,Graduation,Married,105946,0,0,2020-11-01 00:00:00,8,1520,2620,5175,506,2620,172,1,6,10,12,2,0,0,0,0,0,0,3,16
3333,Miss Bernadette Anderson,1956,Graduation,Together,110106,0,0,2020-09-11 00:00:00,52,8610,2400,6195,3080,3080,172,1,6,12,11,2,0,0,0,0,0,0,3,16
3342,Miss Jessica Scott,1977,Master,Together,56643,0,0,2021-05-12 00:00:00,56,1120,340,660,520,440,89,1,4,6,3,3,0,0,0,0,0,0,3,16
3345,Miss Hannah Ross,1984,Graduation,Together,44124,1,0,2021-10-11 00:00:00,0,50,40,90,20,40,8,1,3,1,2,7,0,0,0,0,0,0,3,16
3348,Miss Andrea Taylor,1988,Graduation,Single,129307,0,0,2020-11-16 00:00:00,91,8230,622,12015,488,880,111,1,8,3,6,3,0,1,1,1,0,0,3,16
3351,Miss Melanie Hudson,1972,Master,Single,86544,2,1,2021-07-18 00:00:00,39,840,0,75,0,0,1,3,4,1,4,5,0,0,0,0,0,0,3,16
3360,Mrs. Tracey Tucker,1970,Master,Widow,132362,0,0,2022-04-29 00:00:00,27,11840,640,5280,320,320,16,1,5,5,7,1,0,1,1,1,0,0,3,16
3363,Miss Karen Short,1987,Graduation,Single,58101,0,0,2021-08-06 00:00:00,23,350,220,900,580,160,65,1,5,2,4,6,0,0,0,0,0,0,3,16
3369,Miss Wanda Miller,1989,Graduation,Together,44138,1,0,2022-04-02 00:00:00,79,110,60,240,40,120,1,3,5,1,3,7,0,0,0,0,0,0,3,16
3372,Mrs. Victoria Chapman,1975,Graduation,Married,83558,0,1,2021-06-23 00:00:00,3,1120,780,855,720,360,20,2,5,2,7,4,0,0,0,0,0,0,3,16
3375,Mr. Robert Peters,1956,PhD,Divorced,90252,0,1,2021-08-22 00:00:00,5,4980,660,3360,1160,320,58,3,9,4,12,4,0,0,0,0,0,0,3,16
3378,Miss Diana Dyer,1975,MASTER,Single,48732,1,1,2021-04-20 00:00:00,44,240,20,345,,20,2,3,4,1,4,6,0,0,0,0,0,0,3,16
3381,Mr. James Lee,1979,Graduation,Together,104189,0,0,2021-11-09 00:00:00,66,7270,1680,4725,480,1200,145,1,5,7,9,1,0,1,0,0,0,0,3,16
3387,Miss Angela Walker,1943,PhD,Together,112782,0,0,2021-07-20 00:00:00,92,7050,200,4290,200,200,10,1,6,6,6,2,0,0,0,0,0,0,3,16
